,Name,Price/Night
0,Flat in Bengaluru,"₹1,349 ₹1,168 night"
1,Room in Bengaluru,"₹1,054 ₹948 night"
2,Room in Bangalore,"₹1,483 night"
3,Home in Bengaluru,"₹2,128 night"
4,Flat in Bengaluru,"₹1,643 night"
5,Flat in Bengaluru,"₹1,785 night"
6,Flat in Bengaluru,"₹1,405 night"
7,Villa in Bengaluru,"₹4,080 ₹3,540 night"
8,Room in Indiranagar,"₹1,070 night"
9,Flat in Bengaluru,"₹3,271 night"
10,Room in Bengaluru,"₹1,997 night"
11,Flat in Bengaluru,₹947 night
12,Room in Bengaluru,"₹1,370 night"
13,Room in Indiranagar,"₹1,064 ₹960 night"
14,Flat in Bengaluru,"₹2,570 ₹2,291 night"
15,Room in Bangalore,"₹3,398 night"
16,Home in Bengaluru,"₹1,799 ₹1,558 night"
17,Home in Bengaluru,"₹1,573 ₹1,362 night"
18,Flat in Bengaluru,"₹1,349 ₹1,168 night"
19,Room in Bengaluru,"₹1,054 ₹948 night"
20,Room in Bangalore,"₹1,483 night"
21,Home in Bengaluru,"₹2,128 night"
22,Flat in Bengaluru,"₹1,643 night"
23,Flat in Bengaluru,"₹1,785 night"
24,Flat in Bengaluru,"₹1,405 night"
25,Villa in Bengaluru,"₹4,080 ₹3,540 night"
26,Room in Indiranagar,"₹1,070 night"
27,Flat in Bengaluru,"₹3,271 night"
28,Room in Bengaluru,"₹1,997 night"
29,Flat in Bengaluru,₹947 night
30,Room in Bengaluru,"₹1,370 night"
31,Room in Indiranagar,"₹1,064 ₹960 night"
32,Flat in Bengaluru,"₹2,570 ₹2,291 night"
33,Room in Bangalore,"₹3,398 night"
34,Home in Bengaluru,"₹1,799 ₹1,558 night"
35,Home in Bengaluru,"₹1,573 ₹1,362 night"
36,Flat in Bengaluru,"₹1,349 ₹1,168 night"
37,Room in Bengaluru,"₹1,054 ₹948 night"
38,Room in Bangalore,"₹1,483 night"
39,Home in Bengaluru,"₹2,128 night"
40,Flat in Bengaluru,"₹1,643 night"
41,Flat in Bengaluru,"₹1,785 night"
42,Flat in Bengaluru,"₹1,405 night"
43,Villa in Bengaluru,"₹4,080 ₹3,540 night"
44,Room in Indiranagar,"₹1,070 night"
45,Flat in Bengaluru,"₹3,271 night"
46,Room in Bengaluru,"₹1,997 night"
47,Flat in Bengaluru,₹947 night
48,Room in Bengaluru,"₹1,370 night"
49,Room in Indiranagar,"₹1,064 ₹960 night"
50,Flat in Bengaluru,"₹2,570 ₹2,291 night"
51,Room in Bangalore,"₹3,398 night"
52,Home in Bengaluru,"₹1,799 ₹1,558 night"
53,Home in Bengaluru,"₹1,573 ₹1,362 night"
54,Flat in Bengaluru,"₹1,349 ₹1,168 night"
55,Room in Bengaluru,"₹1,054 ₹948 night"
56,Room in Bangalore,"₹1,483 night"
57,Home in Bengaluru,"₹2,128 night"
58,Flat in Bengaluru,"₹1,643 night"
59,Flat in Bengaluru,"₹1,785 night"
60,Flat in Bengaluru,"₹1,405 night"
61,Villa in Bengaluru,"₹4,080 ₹3,540 night"
62,Room in Indiranagar,"₹1,070 night"
63,Flat in Bengaluru,"₹3,271 night"
64,Room in Bengaluru,"₹1,997 night"
65,Flat in Bengaluru,₹947 night
66,Room in Bengaluru,"₹1,370 night"
67,Room in Indiranagar,"₹1,064 ₹960 night"
68,Flat in Bengaluru,"₹2,570 ₹2,291 night"
69,Room in Bangalore,"₹3,398 night"
70,Home in Bengaluru,"₹1,799 ₹1,558 night"
71,Home in Bengaluru,"₹1,573 ₹1,362 night"
72,Flat in Bengaluru,"₹1,349 ₹1,168 night"
73,Room in Bengaluru,"₹1,054 ₹948 night"
74,Room in Bangalore,"₹1,483 night"
75,Home in Bengaluru,"₹2,128 night"
76,Flat in Bengaluru,"₹1,643 night"
77,Flat in Bengaluru,"₹1,785 night"
78,Flat in Bengaluru,"₹1,405 night"
79,Villa in Bengaluru,"₹4,080 ₹3,540 night"
80,Room in Indiranagar,"₹1,070 night"
81,Flat in Bengaluru,"₹3,271 night"
82,Room in Bengaluru,"₹1,997 night"
83,Flat in Bengaluru,₹947 night
84,Room in Bengaluru,"₹1,370 night"
85,Room in Indiranagar,"₹1,064 ₹960 night"
86,Flat in Bengaluru,"₹2,570 ₹2,291 night"
87,Room in Bangalore,"₹3,398 night"
88,Home in Bengaluru,"₹1,799 ₹1,558 night"
89,Home in Bengaluru,"₹1,573 ₹1,362 night"
90,Flat in Bengaluru,"₹1,349 ₹1,168 night"
91,Room in Bengaluru,"₹1,054 ₹948 night"
92,Room in Bangalore,"₹1,483 night"
