,Company,PriceRs.,Day HighRs.
0,"
Maruti Suzuki
",10560.7,10845
1,"
Canara Bank
",380.8,387.8
2,"
Shriram Finance
",1935.2,2029.7
3,"
Swan Energy
",369.2,390
4,"
Persistent Systems
",6083.75,6145.5
5,"
BSE
",1862.95,1912.8
6,"
Welspun Living
",145.7,147.4
7,"
Angel One
",2535.8,2549.15
8,"
Indo Count Inds
",264.7,274.7
9,"
Sonata Software
",1177.55,1195.75
10,"
Cupid
",602.5,627
11,"
CreditAccess Grameen
",1570.7,1637.9
12,"
Jindal Saw
",383.45,410
13,"
Spandana Sphoorty
",881.7,888.5
14,"
Black Box
",246.9,253.45
15,"
Maruti Suzuki
",10560.7,10845
16,"
Canara Bank
",380.8,387.8
17,"
Shriram Finance
",1935.2,2029.7
18,"
Swan Energy
",369.2,390
19,"
Persistent Systems
",6083.75,6145.5
20,"
BSE
",1862.95,1912.8
21,"
Welspun Living
",145.7,147.4
22,"
Angel One
",2535.8,2549.15
23,"
Indo Count Inds
",264.7,274.7
24,"
Sonata Software
",1177.55,1195.75
25,"
Cupid
",602.5,627
26,"
CreditAccess Grameen
",1570.7,1637.9
27,"
Jindal Saw
",383.45,410
28,"
Spandana Sphoorty
",881.7,888.5
29,"
Black Box
",246.9,253.45
30,"
Maruti Suzuki
",10560.7,10845
31,"
Canara Bank
",380.8,387.8
32,"
Shriram Finance
",1935.2,2029.7
33,"
Swan Energy
",369.2,390
34,"
Persistent Systems
",6083.75,6145.5
35,"
BSE
",1862.95,1912.8
36,"
Welspun Living
",145.7,147.4
37,"
Angel One
",2535.8,2549.15
38,"
Indo Count Inds
",264.7,274.7
39,"
Sonata Software
",1177.55,1195.75
40,"
Cupid
",602.5,627
41,"
CreditAccess Grameen
",1570.7,1637.9
42,"
Jindal Saw
",383.45,410
43,"
Spandana Sphoorty
",881.7,888.5
44,"
Black Box
",246.9,253.45
45,"
Maruti Suzuki
",10560.7,10845
46,"
Canara Bank
",380.8,387.8
47,"
Shriram Finance
",1935.2,2029.7
48,"
Swan Energy
",369.2,390
49,"
Persistent Systems
",6083.75,6145.5
50,"
BSE
",1862.95,1912.8
51,"
Welspun Living
",145.7,147.4
